Source,Target,Type,Id,Label,Weight
12,3690,Directed,180,,1
12,3813,Directed,181,,1
12,4101,Directed,182,,1
12,1634,Directed,183,,1
12,4468,Directed,184,,1
13,584,Directed,185,,1
13,1051,Directed,186,,1
13,2900,Directed,187,,1
13,494,Directed,188,,2
13,1500,Directed,189,,3
13,479,Directed,190,,1
13,2444,Directed,191,,4
13,2604,Directed,192,,1
13,3042,Directed,193,,1
13,3523,Directed,194,,2
13,1441,Directed,195,,1
13,1881,Directed,196,,2
13,2596,Directed,197,,1
13,1018,Directed,198,,1
13,3617,Directed,199,,1
13,3019,Directed,200,,1
13,2147,Directed,201,,1
13,2935,Directed,202,,1
13,4405,Directed,203,,1
13,1222,Directed,204,,1
13,2442,Directed,205,,1
13,3483,Directed,206,,1
13,788,Directed,207,,1
13,2430,Directed,208,,1
13,2210,Directed,209,,1
13,3465,Directed,210,,1
13,2611,Directed,211,,1
13,3813,Directed,212,,1
13,2300,Directed,213,,1
13,1641,Directed,214,,1
13,66,Directed,215,,1
13,1040,Directed,216,,1
13,1216,Directed,217,,1
13,1717,Directed,218,,1
13,4565,Directed,219,,2
13,2369,Directed,220,,1
13,2747,Directed,221,,1
13,2035,Directed,222,,1
13,2312,Directed,223,,1
13,4076,Directed,224,,1
13,3757,Directed,225,,1
13,1415,Directed,226,,2
13,2188,Directed,227,,1
13,1689,Directed,228,,1
13,4442,Directed,229,,1
13,423,Directed,230,,1
13,4152,Directed,231,,1
13,3306,Directed,232,,1
13,2518,Directed,233,,1
13,2064,Directed,234,,1
13,149,Directed,235,,1
13,4177,Directed,236,,1
13,2659,Directed,237,,1
13,13,Directed,238,,2
13,4078,Directed,239,,1
13,988,Directed,240,,1
13,1705,Directed,241,,1
13,2121,Directed,242,,1
13,1952,Directed,243,,1
13,307,Directed,244,,1
13,3180,Directed,245,,1
13,4267,Directed,246,,2
13,4510,Directed,247,,1
13,2126,Directed,248,,1
13,3088,Directed,249,,1
13,2478,Directed,250,,1
13,724,Directed,251,,1
13,65,Directed,252,,1
13,176,Directed,253,,1
13,3619,Directed,254,,1
13,3929,Directed,255,,1
13,2670,Directed,256,,1
13,2007,Directed,257,,1
13,3356,Directed,258,,1
13,37,Directed,259,,1
14,653,Directed,260,,1
14,283,Directed,261,,1
14,1721,Directed,262,,1
14,1115,Directed,263,,1
15,3858,Directed,264,,1
16,2430,Directed,265,,1
16,3731,Directed,266,,1
16,1846,Directed,267,,1
16,3517,Directed,268,,1
16,293,Directed,269,,1
16,4016,Directed,270,,1
16,1841,Directed,271,,1
16,2703,Directed,272,,1
17,3800,Directed,273,,1
17,4390,Directed,274,,1
17,1220,Directed,275,,1
17,3878,Directed,276,,1
17,4212,Directed,277,,1
17,1381,Directed,278,,1
17,3630,Directed,279,,1
17,1717,Directed,280,,1
17,2452,Directed,281,,1
17,246,Directed,282,,1
17,2229,Directed,283,,1
17,3813,Directed,284,,1
17,3881,Directed,285,,1
17,4109,Directed,286,,1
18,4501,Directed,287,,1
18,2647,Directed,288,,1
18,1124,Directed,289,,1
18,3753,Directed,290,,1
18,228,Directed,291,,1
18,3427,Directed,292,,1
18,3663,Directed,293,,1
18,2265,Directed,294,,1
18,3201,Directed,295,,1
18,816,Directed,296,,1
19,1406,Directed,297,,1
19,4131,Directed,298,,1
19,1173,Directed,299,,1
19,1067,Directed,300,,1
20,3209,Directed,301,,1
20,1597,Directed,302,,1
20,4355,Directed,303,,1
20,1842,Directed,304,,1
20,1387,Directed,305,,1
20,964,Directed,306,,1
20,1276,Directed,307,,1
21,307,Directed,308,,1
21,4468,Directed,309,,1
22,4452,Directed,310,,1
22,2650,Directed,311,,1
23,4230,Directed,312,,1
23,3617,Directed,313,,1
23,3629,Directed,314,,1
23,2067,Directed,315,,1
23,3167,Directed,316,,1
23,3719,Directed,317,,1
23,2369,Directed,318,,1
23,3669,Directed,319,,1
24,2471,Directed,320,,1
24,3423,Directed,321,,2
24,4542,Directed,322,,1
24,4249,Directed,323,,1
24,2369,Directed,324,,1
24,2965,Directed,325,,1
24,2227,Directed,326,,1
25,1698,Directed,327,,2
25,2012,Directed,328,,2
25,479,Directed,329,,4
25,4468,Directed,330,,2
25,1222,Directed,331,,1
25,3097,Directed,332,,2
25,698,Directed,333,,1
25,4151,Directed,334,,1
25,1133,Directed,335,,1
25,2478,Directed,336,,1
25,4317,Directed,337,,1
25,647,Directed,338,,2
25,2147,Directed,339,,1
25,2961,Directed,340,,1
25,988,Directed,341,,3
25,3316,Directed,342,,2
25,1040,Directed,343,,3
25,3042,Directed,344,,1
25,1519,Directed,345,,1
25,402,Directed,346,,1
25,753,Directed,347,,1
25,4079,Directed,348,,1
25,2747,Directed,349,,1
25,2612,Directed,350,,1
25,3273,Directed,351,,1
25,2599,Directed,352,,1
25,3795,Directed,353,,1
25,2182,Directed,354,,1
25,3813,Directed,355,,3
25,1216,Directed,356,,1
25,1531,Directed,357,,1
25,2692,Directed,358,,3
25,3320,Directed,359,,1
